date,region,product,revenue,churn,customers
2023-08-01,East,Alpha,102579.86,2.82,1045
2023-08-01,East,Beta,93254.87,4.16,1276
2023-08-01,East,Gamma,91731.4,3.54,1207
2023-08-01,West,Alpha,84557.27,7.48,1305
2023-08-01,West,Beta,92508.39,7.32,942
2023-08-01,West,Gamma,95505.86,4.25,850
2023-09-01,North,Alpha,113402.61,3.72,1113
2023-09-01,North,Beta,84129.14,7.16,1104
2023-09-01,North,Gamma,90948.16,5.13,852
2023-09-01,South,Alpha,94856.28,3.63,1419
2023-09-01,South,Beta,92087.43,2.31,1149
2023-09-01,South,Gamma,98715.21,5.24,1455
2023-09-01,East,Alpha,97306.0,3.94,1456
2023-09-01,East,Beta,100294.52,4.39,1403
2023-09-01,East,Gamma,91197.16,3.11,926
2023-09-01,West,Alpha,103080.04,6.18,1440
2023-09-01,West,Beta,94860.27,3.5,1437
2023-09-01,West,Gamma,94975.07,2.56,1400
2023-10-01,North,Alpha,89173.81,7.73,1246
2023-10-01,North,Beta,104425.03,4.61,1046
2023-10-01,North,Gamma,98605.96,2.95,885
2023-10-01,South,Alpha,93849.82,2.09,1019
2023-10-01,South,Beta,101106.74,,1017
2023-10-01,South,Gamma,103422.44,,1140
2023-10-01,East,Alpha,88935.4,4.6,822
2023-10-01,East,Beta,97264.17,2.29,899
2023-10-01,East,Gamma,97101.11,5.76,1241
2023-10-01,West,Alpha,94740.35,5.01,1124
2023-10-01,West,Beta,104808.43,7.66,1057
2023-10-01,West,Gamma,108811.32,2.16,959
2023-11-01,North,Alpha,99594.62,4.33,1179
2023-11-01,North,Beta,103434.91,2.77,1490
2023-11-01,North,Gamma,101924.03,6.92,967
2023-11-01,South,Alpha,106753.7,7.43,1355
2023-11-01,South,Beta,92618.45,4.26,1052
2023-11-01,South,Gamma,93904.35,2.57,834
2023-11-01,East,Alpha,107411.48,4.31,1401
2023-11-01,East,Beta,89761.43,4.04,914
2023-11-01,East,Gamma,94444.34,6.18,1292
2023-11-01,West,Alpha,96311.58,7.62,1175
2023-11-01,West,Beta,104490.03,3.69,1193
2023-11-01,West,Gamma,103207.4,4.54,991
2023-12-01,North,Alpha,110875.74,2.77,895
2023-12-01,North,Beta,103295.72,4.04,989
2023-12-01,North,Gamma,88861.54,6.08,1078
2023-12-01,South,Alpha,102141.49,6.53,1072
2023-12-01,South,Beta,97318.19,4.34,1196
2023-12-01,South,Gamma,122377.9,7.37,976
2023-12-01,East,Alpha,96720.97,7.74,1183
2023-12-01,East,Beta,106488.16,4.9,1305
2023-12-01,East,Gamma,93872.46,3.76,824
2023-12-01,West,Alpha,114246.71,5.32,1268
2023-12-01,West,Beta,104994.75,6.74,908
2023-12-01,West,Gamma,104269.39,,985
2024-01-01,North,Alpha,103330.63,4.65,1014
2024-01-01,North,Beta,98059.87,5.28,1457
2024-01-01,North,Gamma,103430.51,7.03,973
2024-01-01,South,Alpha,103379.11,6.21,969
2024-01-01,South,Beta,109003.41,2.88,828
2024-01-01,South,Gamma,101164.08,2.51,1138
2024-01-01,East,Alpha,110224.85,7.28,1456
2024-01-01,East,Beta,104462.4,7.68,1016
2024-01-01,East,Gamma,90597.0,6.25,1244
2024-01-01,West,Alpha,110286.35,4.27,966
2024-01-01,West,Beta,108803.62,2.67,1250
2024-01-01,West,Gamma,101680.43,3.52,1019
2024-02-01,North,Alpha,114731.1,6.6,1160
2024-02-01,North,Beta,106901.49,,1186
2024-02-01,North,Gamma,107048.81,4.25,1168
2024-02-01,South,Alpha,104222.11,2.5,916
2024-02-01,South,Beta,104087.57,7.96,1028
2024-02-01,South,Gamma,110484.53,3.52,1458
2024-02-01,East,Alpha,103771.57,5.78,1325
2024-02-01,East,Beta,107085.99,3.77,1312
2024-02-01,East,Gamma,112002.88,7.41,811
2024-02-01,West,Alpha,116312.61,7.75,1157
2024-02-01,West,Beta,118928.62,3.66,1147
2024-02-01,West,Gamma,97941.91,5.88,1447
2024-03-01,North,Alpha,111628.2,2.47,840
2024-03-01,North,Beta,91729.08,3.56,1301
2024-03-01,North,Gamma,116494.23,3.63,1357
2024-03-01,South,Alpha,93951.79,2.46,1189
2024-03-01,South,Beta,95158.37,7.6,1041
2024-03-01,South,Gamma,117220.21,5.31,804
2024-03-01,East,Alpha,103884.72,,1023
2024-03-01,East,Beta,102424.45,7.91,1081
2024-03-01,East,Gamma,106786.46,7.05,1260
2024-03-01,West,Alpha,164347.11,2.38,904
2024-03-01,West,Beta,153791.01,2.34,1317
2024-03-01,West,Gamma,160756.37,6.15,1444
2024-04-01,North,Alpha,105236.71,6.61,1476
2024-04-01,North,Beta,105528.86,6.54,882
2024-04-01,North,Gamma,103008.83,2.77,850
2024-04-01,South,Alpha,94006.14,3.65,1245
2024-04-01,South,Beta,107551.64,2.28,894
2024-04-01,South,Gamma,108660.87,2.68,953
2024-04-01,East,Alpha,80852.82,6.99,1105
2024-04-01,East,Beta,103322.16,7.11,853
2024-04-01,East,Gamma,108095.99,4.88,1006
2024-04-01,West,Alpha,114594.62,6.71,1377
2024-04-01,West,Beta,106621.79,5.65,1134
2024-04-01,West,Gamma,105547.01,4.62,1246
2024-05-01,North,Alpha,108521.18,4.71,1134
2024-05-01,North,Beta,118030.2,,905
2024-05-01,North,Gamma,94076.32,4.75,1345
2024-05-01,South,Alpha,105611.17,5.72,1249
2024-05-01,South,Beta,113858.74,3.44,910
2024-05-01,South,Gamma,95911.63,2.77,982
2024-05-01,East,Alpha,93651.11,6.19,1159
2024-05-01,East,Beta,116499.22,6.18,1080
2024-05-01,East,Gamma,105561.25,6.01,860
2024-05-01,West,Alpha,112686.0,3.15,1202
2024-05-01,West,Beta,102477.34,4.09,1333
2024-05-01,West,Gamma,113317.19,2.53,1312
2024-06-01,North,Alpha,91779.0,7.37,877
2024-06-01,North,Beta,110390.59,3.98,872
2024-06-01,North,Gamma,106508.62,6.13,855
2024-06-01,South,Alpha,100499.19,7.24,847
2024-06-01,South,Beta,106013.7,6.84,1424
2024-06-01,South,Gamma,105253.21,5.58,1491
2024-06-01,East,Alpha,102969.04,,1273
2024-06-01,East,Beta,98203.62,6.56,877
2024-06-01,East,Gamma,118314.77,2.22,1111
2024-06-01,West,Alpha,105056.75,2.8,802
2024-06-01,West,Beta,107000.34,,1073
2024-06-01,West,Gamma,113580.36,4.68,814
2024-07-01,North,Alpha,79527.66,3.09,838
2024-07-01,North,Beta,104178.61,3.93,1030
2024-07-01,North,Gamma,108126.86,3.4,1324
2024-07-01,South,Alpha,101474.94,5.56,1379
2024-07-01,South,Beta,117001.69,4.88,1027
2024-07-01,South,Gamma,98446.4,5.22,833
2024-07-01,East,Alpha,122191.34,5.39,1353
2024-07-01,East,Beta,117336.32,3.7,1317
2024-07-01,East,Gamma,109181.98,3.47,1114
2024-07-01,West,Alpha,113478.23,7.92,1176
2024-07-01,West,Beta,105070.04,2.92,1302
2024-07-01,West,Gamma,105930.55,4.93,1149
2024-08-01,North,Alpha,73901.24,3.04,936
2024-08-01,North,Beta,102352.06,2.48,1042
2024-08-01,North,Gamma,113982.39,2.03,917
2024-08-01,South,Alpha,109416.43,3.55,1303
2024-08-01,South,Beta,114110.96,6.31,1191
2024-08-01,South,Gamma,112367.29,4.86,972
2024-08-01,East,Alpha,103761.63,3.94,1024
2024-08-01,East,Beta,112394.19,6.42,939
2024-08-01,East,Gamma,110218.06,3.73,938
2024-08-01,West,Alpha,102069.78,7.59,1058
2024-08-01,West,Beta,107360.14,2.81,1449
2024-08-01,West,Gamma,105547.78,7.94,812
2024-09-01,North,Alpha,74545.93,2.83,1128
2024-09-01,North,Beta,111026.35,6.56,1349
2024-09-01,North,Gamma,96808.3,7.58,1117
2024-09-01,South,Alpha,101971.6,6.48,1133
2024-09-01,South,Beta,105641.16,7.56,1119
2024-09-01,South,Gamma,100507.12,5.45,1148
2024-09-01,East,Alpha,111563.22,3.21,1090
2024-09-01,East,Beta,106316.86,2.99,804
2024-09-01,East,Gamma,113773.8,7.45,1400
2024-09-01,West,Alpha,100162.13,7.26,888
2024-09-01,West,Beta,105694.5,6.28,1490
2024-09-01,West,Gamma,122549.13,5.74,822
2024-10-01,North,Alpha,93186.35,4.13,1302
2024-10-01,North,Beta,98943.35,5.19,1415
2024-10-01,North,Gamma,111694.11,4.59,1378
2024-10-01,South,Alpha,99286.65,5.77,1353
2024-10-01,South,Beta,112369.47,,1277
2024-10-01,South,Gamma,107092.98,7.36,1219
2024-10-01,East,Alpha,116790.54,2.86,995
2024-10-01,East,Beta,115045.41,5.42,1321
2024-10-01,East,Gamma,121494.67,2.62,958
2024-10-01,West,Alpha,109728.31,4.27,1015
2024-10-01,West,Beta,110386.09,5.24,956
2024-10-01,West,Gamma,127539.82,3.38,1484
2024-11-01,North,Alpha,85863.24,6.16,1091
2024-11-01,North,Beta,120289.47,6.3,1082
2024-11-01,North,Gamma,103391.3,7.45,1349
2024-11-01,South,Alpha,107209.6,3.36,822
2024-11-01,South,Beta,115380.56,2.92,940
2024-11-01,South,Gamma,110410.91,2.83,1009
2024-11-01,East,Alpha,109380.08,7.23,1259
2024-11-01,East,Beta,111128.41,2.61,1123
2024-11-01,East,Gamma,119234.79,4.25,850
2024-11-01,West,Alpha,115506.98,6.42,1095
2024-11-01,West,Beta,108495.08,2.99,1219
2024-11-01,West,Gamma,107508.03,2.75,800
2024-12-01,North,Alpha,80742.07,5.55,1460
2024-12-01,North,Beta,119259.34,4.28,1108
2024-12-01,North,Gamma,119096.98,2.03,1374
2024-12-01,South,Alpha,107520.4,4.49,1401
2024-12-01,South,Beta,109990.84,4.08,1217
2024-12-01,South,Gamma,115996.98,7.51,1439
2024-12-01,East,Alpha,109782.86,2.85,1463
2024-12-01,East,Beta,101078.0,5.47,979
2024-12-01,East,Gamma,117231.07,,862
2024-12-01,West,Alpha,110499.5,,1465
2024-12-01,West,Beta,109717.78,2.51,1159
2024-12-01,West,Gamma,103854.32,5.01,940
